words,cosines,gold,pred-logistic_regression-default-loo,pred-nearest_neighbors-100-loo,pred-nearest_neighbors-1000-loo,pred-nearest_neighbors-200-loo,pred-nearest_neighbors-300-loo,pred-nearest_neighbors-400-loo,pred-nearest_neighbors-500-loo,pred-nearest_neighbors-600-loo,pred-nearest_neighbors-700-loo,pred-nearest_neighbors-800-loo,pred-nearest_neighbors-900-loo,pred-neural_net_classification-default-shuff-2018-07-18-12:20:49-001721-loo,pred-neural_net_classification-default-shuff-2018-07-18-13:33:48-957609-loo
cigar,0.40509900212017574,0,1,0,0,0,0,0,0,0,0,0,0,1,1
elm,0.40305173801226546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter,0.3974042988613399,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lips,0.3924630703352051,1,1,0,0,0,0,0,0,0,0,0,0,1,1
hedgehog,0.382796448648149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fir,0.3789535851133131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magpie,0.37436289051059124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sparrow,0.365225756089572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fox,0.3560691375138488,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brick,0.35391511456030195,1,1,0,0,0,0,0,0,0,0,0,0,1,1
chipmunk,0.3535297272894984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llama,0.35008546344233293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cow,0.34406074804893483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buzzard,0.33949432539192326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
champagne,0.3367026720336145,0,1,0,0,0,0,0,0,0,0,0,0,1,1
sheep,0.3360683849208186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ox,0.33393326468321327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leopard,0.32828961986671923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otter,0.32593661566097526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
porcupine,0.3257008208822497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buffalo,0.3224605228373469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deer,0.3207457375630011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beaver,0.317969477498817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zebra,0.31749758103845815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swan,0.3118253449623207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pelican,0.3053105834584666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kangaroo,0.3025958963550305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moose,0.30204055046099854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
housefly,0.30191488673242683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nightingale,0.2985141413353085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seagull,0.2954464182027722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camel,0.29275599922865647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penguin,0.28456757296744384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rhino,0.28419830681874786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raven,0.28320316270125345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
giraffe,0.278359005468796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panther,0.26356845990545286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aspirin,0.2605598607879989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calf,0.2544152518678602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiger,0.25154010335494215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platypus,0.248393846051627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bear,0.24050667006050863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gorilla,0.23609555664668125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jam,0.23278314270394565,1,1,0,0,0,0,0,0,0,0,0,0,1,1
ibuprofen,0.22925679414507583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rose,0.22546268646048617,1,0,0,0,0,0,0,0,0,0,0,0,0,0
heart,0.22362861378510074,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lion,0.20791998371101528,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheetah,0.20580230115838558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bat,0.20577708333712053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bus,0.18623169639699816,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hawk,0.18220888282685863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
newspaper,0.13597884390194992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
