Feature,Similarity,Embedding Captured
is_a_mammal,High ,"Yes, may learn to exclude animals with features mammals typically do not have (e.g. fly, most do not swim)"
is_soft,Low (high diversity),No
has_a_beak,High (high correlation with other features),"Yes, but most likely learn category and not feature (only few examples of different categories – dolphin, platypus)"
is_food,"High, but difficult for polysemous words with a dominant animal sense","Yes, could also work for polysemous words. The classifier probably learns to include several categories. We could test this by checking whether it classifies animals without a food sense as positive examples. "
does_make_sound_a_noise,Low,No
is_clothing,High,yes
is_a_musical_instrument,High,yes
is_heavy,low,no
is_an_animal,high,yes
does_swim,"medium (high for animals that swim, probably does not work for other things like ships)","Yes, may pick up activities related to water and swimming "
does_carry_transport,Medium ,"yes, may pick up activities related to carrying and transportation"
is_a_tool,Medium (rather diverse category),"Yes, may pick up typical activities involving tools "
is_white,Low,No
is_circular_round,Low,"May pick up activities only possible for or highly related to round things, like rolling, throwing, but I don’t think there are enough examples"
is_used_in_cooking,"Medium (diverse category, probably works well for food)","Yes, may pick up typical cooking activities"
has_a_seat_seats,High ,yes
is_a_vehicle,High,yes
is_small,Low,No
is_big_large,Low,No
has_a_stalk_stem,Low,No
has_claws,"Medium (several different animals, high change of false","No, there might be some indications for activities done with claws, but I expect these to be too sparse. It is more likely that a classifier may pick up one or more categories and overgeneralize (e.g. cats to other pets)"
made_of_metal,low,no 
does_smell_is_smelly,low,no
is_tasty,High (largely correlated with food),"Yes, probably learns food"
has_fur_hair,Low,"May pick up activities usually done with hair or fur (brushing), but this does not apply to all concepts"
is_found_in_seas,High (large correlation with other features and categories),yes
is_expensive,Medium (high for biggest category),"Yes, may learn some categories, but also include false positives"
is_a_weapon,High,"yes, may learn category as well as activities typically involving weapons"
is_eaten_edible,"Medium (several categories, similar to food)","Yes, probably learns several categories"
is_brown,Low,No
made_of_fabric_cloth_material,Medium (probably high for biggest category),No
is_pink,Low,No
is_pretty_attractive_beautiful,Low,"Yes, since this is a judgement, it probably occurs in the context (e.g. pretty dress, pretty girl, beautiful painting). Of course this would not cover everything that can be pretty/attractive/beautiful"
is_found_in_kitchens,Medium (broad range of categories),"Yes, probably learns cooking/baking activities"
has_pips_seeds,Medium (probably high for largest category),"No, probably learns categories and returns many false positives "
is_sweet,Medium (probably high for largest category),"Yes, may work for very sweet food that is often described as such (sweet apple, sweet mango, sweet chocolate cake)"
made_of_plastic,Low,No
is_dangerous,Low,"Yes, may pick op context words associated with danger (threat, fear, protect, careful)"
is_sharp,Low,"Yes, may pick ip activities involving sharp things (cutting, injure, shave), but the data may be too sparse. May also include metaphorical senses (e.g. sharp/cutting words)"
has_a_blade_blades,Medium (work for a number of similar things),"Yes, similar to sharp "
is_a_plant,High,Yes
is_worn,"Medium (high for biggest category (probably clothes), low for weapons or jewelry","Yes, may learn categories or activities associated with wearing (put on, put off)"
is_thin,Low,No
is_a_vegetable,High,Yes
does_fly,"Medium (high for biggest category (probably birds), lower for other things that fly (balloons, planes, helicopters, insects)","Yes, could learn activity or categories"
is_a_bird,High,yes
has_a_tail,Low,no
has_four_legs,"High (high correlation with many animals, but probably does not cover furniture)","yes, but examples as well as indicative contexts of furniture may be too sparse"
has_roots,High (high correlation with category),Yes
is_strong,Low,No
is_an_insect,High,Yes
is_tall,low,no
is_green,"Medium (may work for a big plant category, but probably also return many false positives)","Yes, but learns categories rather than color – easy to test with plant examples that are not green"
made_of_cotton,Medium (high for largest category – probably clothes),"Yes, probably learns categories that are large enough"
